Figure,Sample name,Scanner,Control software version,Voxelsize [μm],X-ray source,Source voltage [kV],Source current [μA],Filter,Projection size,360°-scan,Rotation step [°],Frame averaging,Exposure time [ms],Stacked scans,Overlap scans,Scan duration [s],NRecon version,Ring removal correction,Beam hardening correction,Log file
1,Mouse_Israel_C2_2.98um_LeftLeg,SkyScan 1172 (Version F),1.5 (build 26),2.99,Hamamatsu 100/250,49.0,200.0,,"(4000, 2672)",True,0.05,3,985,1,False,42809.0,,,,Mouse_Israel_C2_2.98um_LeftLeg/proj/Mouse_Israel_C2_2.98um_LeftLeg.log
2,EDTA3_Tage_11OKT17_Al025um_3_18um,SkyScan 1172 (Version F),1.5 (build 23),3.19,Hamamatsu 100/250,59.0,167.0,Al0.25mm,"(4000, 2672)",False,0.1,2,1740,1,False,13974.0,,,,EDTA3_Tage_11OKT17_Al025um_3_18um/proj/EDTA3_Tage_11OKT17_Al025um_3_18um.log
2,Maus_Hinterbein1_thirdScan_EDTA3plus4Tage_11Okt2017_Al025um_3_18um,SkyScan 1172 (Version F),1.5 (build 23),3.19,Hamamatsu 100/250,59.0,167.0,Al0.25mm,"(4000, 2672)",False,0.1,2,1740,1,False,13974.0,,,,Maus_Hinterbein1_thirdScan_EDTA3plus4Tage_11Okt2017_Al025um_3_18um/proj/Maus_Hinterbein1_thirdScan_EDTA3plus4Tage_11Okt2017_Al025um_3_18um_.log
2,Maus_Hinterbein_11OKT17_Al025um_3_18um,SkyScan 1172 (Version F),1.5 (build 23),3.19,Hamamatsu 100/250,59.0,167.0,Al0.25mm,"(4000, 2672)",False,0.1,2,1740,4,False,13974.0,1.7.1.0,10.0,20.0,Maus_Hinterbein_11OKT17_Al025um_3_18um/proj/Maus_Hinterbein_11OKT17_Al025um_3_18um_.log
3,c1m5_1_65um_al025,SkyScan 1272,1.1.19,1.65,Hamamatsu L11871_20,60.0,166.0,Al 0.25mm,"(4904, 3280)",False,0.1,3,2800,3,False,15784.0,1.7.4.2,17.0,,c1m5_1_65um_al025/proj/c1m5_1_65um_al025.log
3,c1m5_1_65um_al025,SkyScan 1272,1.1.19,1.65,Hamamatsu L11871_20,60.0,166.0,Al 0.25mm,"(4904, 3280)",False,0.1,3,2800,1,False,15784.0,,,,c1m5_1_65um_al025/proj/c1m5_1_65um_al025 (2).log
3,c1m5_1_65um_al025,SkyScan 1272,1.1.19,1.65,Hamamatsu L11871_20,60.0,166.0,Al 0.25mm,"(4904, 3280)",False,0.1,3,2800,3,False,15784.0,1.7.4.2,17.0,,c1m5_1_65um_al025/rec/c1m5_1_65um_al025_rec.log
4,Mouse_kiefer_0_99um_VOI,SkyScan 1172 (Version F),1.5 (build 23),1.0,Hamamatsu 100/250,80.0,124.0,Al 0.5 mm,"(4000, 2672)",True,0.1,4,6260,1,False,28015.0,1.6.10.2,10.0,90.0,Mouse_kiefer_0_99um_VOI/VOI_01/mouse_kiefer_0_99_al05__rec_voi_.log
4,Mouse_kiefer_0_99um_VOI,SkyScan 1172 (Version F),1.5 (build 23),1.0,Hamamatsu 100/250,80.0,124.0,Al 0.5 mm,"(4000, 2672)",True,0.1,4,6260,1,False,28015.0,1.6.10.2,10.0,90.0,Mouse_kiefer_0_99um_VOI/VOI_02/mouse_kiefer_0_99_al05__rec_voi__voi_.log
5,Vreni_Jaw_Jul19_AL1mm-Cu02mm_100kV_9um_OFFSET_,SkyScan 1273,1.1,9.0,Hamamatsu L9181-02,100.0,80.0,Al1mm+Cu0.2mm,"(4832, 1944)",True,0.15,5,225,3,2,14868.0,1.7.4.2,10.0,,Vreni_Jaw_Jul19_AL1mm-Cu02mm_100kV_9um_OFFSET_/proj/Vreni_Jaw_Jul19_AL1mm-Cu02mm_100kV_9um_OFFSET_.log
5,Vreni_Jaw_Jul19_AL1mm-Cu02mm_100kV_9um_OFFSET_,SkyScan 1273,1.1,9.0,Hamamatsu L9181-02,100.0,80.0,Al1mm+Cu0.2mm,"(4832, 1944)",True,0.15,5,225,3,2,14868.0,1.7.4.2,10.0,,Vreni_Jaw_Jul19_AL1mm-Cu02mm_100kV_9um_OFFSET_/proj/Rec 03NOV2020/Vreni_Jaw_Jul19_AL1mm-Cu02mm_100kV_9um_OFFSET__rec.log
5,Vreni_Jaw_Jul20_AL1mm-Cu02mm_100kV_21um,SkyScan 1273,1.1,21.0,Hamamatsu L9181-02,100.0,80.0,Al1mm+Cu0.2mm,"(3072, 1944)",True,0.1,5,225,5,False,10915.0,1.7.4.2,13.0,,Vreni_Jaw_Jul20_AL1mm-Cu02mm_100kV_21um/proj/Vreni_Jaw_Jul20_AL1mm-Cu02mm_100kV_21um_.log
5,Vreni_Jaw_Jul20_AL1mm-Cu02mm_100kV_21um,SkyScan 1273,1.1,21.0,Hamamatsu L9181-02,100.0,80.0,Al1mm+Cu0.2mm,"(3072, 1944)",True,0.1,5,225,5,False,10915.0,1.7.4.2,13.0,,Vreni_Jaw_Jul20_AL1mm-Cu02mm_100kV_21um/rec/Vreni_Jaw_Jul20_AL1mm-Cu02mm_100kV_21um__rec.log
6,Ruslan_sample4_2214,SkyScan 2214,1.0.0,8.0,Hamamatsu L10711,100.0,100.0,Cu 1mm,"(2929, 1944)",True,0.18,4,1080,3,False,16379.0,1.7.4.2,11.0,15.0,Ruslan_sample4_2214/proj/Ruslan_sample4_2214_.log
